origin,destination,origin_city,origin_flag,destination_city,destination_flag,airline,airline_emoji,flight_number,aircraft,duration
VIDP,VOMM,Delhi,flag_in,Chennai,flag_in,Air India,AirIndiaTail,AI439,"Air India Airbus A320, Air India Boeing 777-300ER",2:20
VOMM,VIDP,Chennai,flag_in,Delhi,flag_in,Air India,AirIndiaTail,AI440,"Air India Airbus A320, Air India Boeing 777-300ER",2:20
VIDP,VILH,Delhi,flag_in,Leh,flag_in,Air India,AirIndiaTail,AI445,Air India Airbus A320,1:00
VILH,VIDP,Leh,flag_in,Delhi,flag_in,Air India,AirIndiaTail,AI446,Air India Airbus A320,1:00
VOMM,VOPB,Chennai,flag_in,Port Blair,flag_in,Air India,AirIndiaTail,AI549,Air India Airbus A321,1:50
VOPB,VOMM,Port Blair,flag_in,Chennai,flag_in,Air India,AirIndiaTail,AI550,Air India Airbus A321,1:50
VABB,VOCI,Mumbai,flag_in,Kochi,flag_in,Air India,AirIndiaTail,AI691,Air India Airbus A320,1:30
VOCI,VABB,Kochi,flag_in,Mumbai,flag_in,Air India,AirIndiaTail,AI692,Air India Airbus A320,1:30
VIDP,VABB,Delhi,flag_in,Mumbai,flag_in,Air India,AirIndiaTail,AI814,"Air India Airbus A320, Air India Boeing 777-300ER, Generic Airbus A319, Air India Airbus A321, Air India Boeing 777-200LR",1:40
VABB,VIDP,Mumbai,flag_in,Delhi,flag_in,Air India,AirIndiaTail,AI816,"Air India Airbus A320, Air India Boeing 777-300ER, Generic Airbus A319, Air India Airbus A321, Air India Boeing 777-200LR",1:40
VIDP,VISR,Delhi,flag_in,Srinagar,flag_in,Air India,AirIndiaTail,AI825,"Air India Airbus A320, Air India Airbus A321",1:10
VISR,VIDP,Srinagar,flag_in,Delhi,flag_in,Air India,AirIndiaTail,AI826,"Air India Airbus A320, Air India Airbus A321",1:10
VIDP,VOGO,Delhi,flag_in,Goa,flag_in,Air India,AirIndiaTail,AI881,Air India Airbus A321,2:10
VOGO,VIDP,Goa,flag_in,Delhi,flag_in,Air India,AirIndiaTail,AI882,Air India Airbus A321,2:10
RCTP,KLAX,Taipei Taoyuan,flag_tw,Los Angeles,flag_us,EVA Air,EVATail,BR16,EVA Air Boeing 777-300ER,13:50
KSFO,RCTP,San Francisco,flag_us,Taipei Taoyuan,flag_tw,EVA Air,EVATail,BR17,EVA Air Boeing 777-300ER,13:20
RKSI,RCKH,Seoul Incheon,flag_kr,Kaohsiung,flag_tw,EVA Air,EVATail,BR171,EVA Air Airbus A321,2:25
RCKH,RKSI,Kaohsiung,flag_tw,Seoul Incheon,flag_kr,EVA Air,EVATail,BR172,EVA Air Airbus A321,2:25
RCTP,KSFO,Taipei Taoyuan,flag_tw,San Francisco,flag_us,EVA Air,EVATail,BR18,EVA Air Boeing 777-300ER,13:20
KSEA,RCTP,Seattle,flag_us,Taipei Taoyuan,flag_tw,EVA Air,EVATail,BR25,EVA Air Boeing 787-10,10:10
RCTP,KSEA,Taipei Taoyuan,flag_tw,Seattle,flag_us,EVA Air,EVATail,BR26,EVA Air Boeing 787-10,10:10
RCTP,YBBN,Taipei Taoyuan,flag_tw,Brisbane,flag_au,EVA Air,EVATail,BR315,"Generic Boeing 787-9, EVA Air Boeing 787-10",8:15
YBBN,RCTP,Brisbane,flag_au,Taipei Taoyuan,flag_tw,EVA Air,EVATail,BR316,"Generic Boeing 787-9, EVA Air Boeing 787-10",8:15
KLAX,RCTP,Los Angeles,flag_us,Taipei Taoyuan,flag_tw,EVA Air,EVATail,BR5,EVA Air Boeing 777-300ER,13:50
KORD,RCTP,Chicago O Hare,flag_us,Taipei Taoyuan,flag_tw,EVA Air,EVATail,BR55,EVA Air Boeing 777-300ER,13:20
RCTP,KORD,Taipei Taoyuan,flag_tw,Chicago O Hare,flag_us,EVA Air,EVATail,BR56,EVA Air Boeing 777-300ER,13:20
RCTP,LOWW,Taipei Taoyuan,flag_tw,Vienna,flag_at,EVA Air,EVATail,BR61,"Generic Boeing 787-9, EVA Air Boeing 787-10",13:30
LOWW,RCTP,Vienna,flag_at,Taipei Taoyuan,flag_tw,EVA Air,EVATail,BR62,"Generic Boeing 787-9, EVA Air Boeing 787-10",13:30
PANC,KJFK,Anchorage,flag_us,New York JFK,flag_us,EVA Air,EVATail,BR634,EVA Air Cargo Boeing 777F,6:10
KJFK,PANC,New York JFK,flag_us,Anchorage,flag_us,EVA Air,EVATail,BR635,EVA Air Cargo Boeing 777F,6:10
PANC,RCTP,Anchorage,flag_us,Taipei Taoyuan,flag_tw,EVA Air,EVATail,BR651,EVA Air Cargo Boeing 777F,8:30
RCTP,PANC,Taipei Taoyuan,flag_tw,Anchorage,flag_us,EVA Air,EVATail,BR652,EVA Air Cargo Boeing 777F,8:30
RCTP,VHHH,Taipei Taoyuan,flag_tw,Hong Kong,flag_hk,EVA Air,EVATail,BR6521,EVA Air Cargo Boeing 777F,1:50
VHHH,RCTP,Hong Kong,flag_hk,Taipei Taoyuan,flag_tw,EVA Air,EVATail,BR6522,EVA Air Cargo Boeing 777F,1:50
PANC,CYYZ,Anchorage,flag_us,Toronto,flag_ca,EVA Air,EVATail,BR658,EVA Air Cargo Boeing 777F,5:30
CYYZ,PANC,Toronto,flag_ca,Anchorage,flag_us,EVA Air,EVATail,BR658,EVA Air Cargo Boeing 777F,5:30
RCTP,EGLL,Taipei Taoyuan,flag_tw,London Heathrow,flag_gb,EVA Air,EVATail,BR67,"EVA Air Boeing 777-300ER, EVA Air Boeing 787-10",15:45
RCTP,ZUCK,Taipei Taoyuan,flag_tw,Chongqing,flag_cn,EVA Air,EVATail,BR677,EVA Air Cargo Boeing 777F,2:50
ZUCK,RCTP,Chongqing,flag_cn,Taipei Taoyuan,flag_tw,EVA Air,EVATail,BR678,EVA Air Cargo Boeing 777F,2:50
EGLL,RCTP,London Heathrow,flag_gb,Taipei Taoyuan,flag_tw,EVA Air,EVATail,BR68,"EVA Air Boeing 777-300ER, EVA Air Boeing 787-10",15:45
ZSHC,RCTP,Hangzhou,flag_cn,Taipei Taoyuan,flag_tw,EVA Air,EVATail,BR757,EVA Air Boeing 787-10,1:20
RCTP,ZUTF,Taipei Taoyuan,flag_tw,Chengdu,flag_cn,EVA Air,EVATail,BR757,EVA Air Boeing 787-10,3:10
RCTP,ZSHC,Taipei Taoyuan,flag_tw,Hangzhou,flag_cn,EVA Air,EVATail,BR758,EVA Air Boeing 787-10,1:20
ZUTF,RCTP,Chengdu,flag_cn,Taipei Taoyuan,flag_tw,EVA Air,EVATail,BR766,EVA Air Boeing 787-10,3:10
TTCP,TBPB,Tobago,flag_tt,Barbados,flag_bb,Caribbean Airlines,Caribbeantail,BW212,Generic Bombardier Dash 8-Q400,0:40
TBPB,TTCP,Barbados,flag_bb,Tobago,flag_tt,Caribbean Airlines,Caribbeantail,BW213,Generic Bombardier Dash 8-Q400,0:40
TTPP,TBPB,Port of Spain,flag_tt,Barbados,flag_bb,Caribbean Airlines,Caribbeantail,BW216,Generic Bombardier Dash 8-Q400,0:55
TBPB,TTPP,Barbados,flag_bb,Port of Spain,flag_tt,Caribbean Airlines,Caribbeantail,BW217,Generic Bombardier Dash 8-Q400,0:55
TTPP,TNCM,Port of Spain,flag_tt,Sint Maarten,flag_sx,Caribbean Airlines,Caribbeantail,BW256,Caribbean Airlines Boeing 737-8 MAX,1:40
TNCM,TTPP,Sint Maarten,flag_sx,Port of Spain,flag_tt,Caribbean Airlines,Caribbeantail,BW257,Caribbean Airlines Boeing 737-8 MAX,1:40
TTPP,SVMI,Port of Spain,flag_tt,Caracas,flag_ve,Caribbean Airlines,Caribbeantail,BW300,Generic Bombardier Dash 8-Q400,1:30
SVMI,TTPP,Caracas,flag_ve,Port of Spain,flag_tt,Caribbean Airlines,Caribbeantail,BW301,Generic Bombardier Dash 8-Q400,1:30
TTPP,MKJP,Port of Spain,flag_tt,Kingston,flag_jm,Caribbean Airlines,Caribbeantail,BW414A,Caribbean Airlines Boeing 737-8 MAX,2:30
MKJP,TTPP,Kingston,flag_jm,Port of Spain,flag_tt,Caribbean Airlines,Caribbeantail,BW415A,Caribbean Airlines Boeing 737-8 MAX,2:30
